id,title,is_paid,price,num_subscribers,avg_rating,num_reviews,num_lectures,Level,content_length_min,published_time,category,course_url
456284,The Professional Guitar Masterclass,TRUE,200,21701,4.3,1340,136,Intermediate Level,9.5,2015-04-28T17:27:26Z,Musical Instruments,https://www.udemy.com/the-professional-guitar-masterclass/
456388,Adobe Photoshop CC | The Essential Guide,TRUE,20,254,4.6,5,81,Intermediate Level,4.5,2015-05-12T00:19:27Z,Graphic Design,https://www.udemy.com/adobe-photoshop-cc-the-essential-guide/
456988,Graphic Design Bootcamp: Professional Workflow & Layout Tips,TRUE,20,99,4.85,10,9,Intermediate Level,1.5,2015-03-26T18:24:10Z,Graphic Design,https://www.udemy.com/graphic-design-bootcamp-layout-and-workflow-basics/
457206,Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,TRUE,50,205,4.5,11,77,Beginner Level,5,2015-04-15T16:32:47Z,Musical Instruments,https://www.udemy.com/beginning-bassoon/
459207,Master the Bassoon - Intermediate Instruction Made Simple!,TRUE,50,177,3.85,3,102,Intermediate Level,7.5,2015-04-15T17:12:37Z,Musical Instruments,https://www.udemy.com/intermediate-bassoon/
459468,Advanced Bassoon Studies - Learn to Master the Bassoon!​,TRUE,50,197,4.4,0,106,Intermediate Level,6.5,2015-04-15T20:24:35Z,Musical Instruments,https://www.udemy.com/advanced-bassoon/
459804,Learn to Play the Tuba: Beginner to Pro in Under Five Hours!,TRUE,50,225,4.35,19,106,Intermediate Level,6,2015-04-15T18:02:45Z,Musical Instruments,https://www.udemy.com/beginner-tuba/
459888,Master the Tuba - Intermediate Instruction Made Simple!,TRUE,50,184,4.45,5,107,Intermediate Level,8.5,2015-04-15T17:32:56Z,Musical Instruments,https://www.udemy.com/intermediate-tuba/
459922,The Complete Web Developer Course - Build 20 Websites,TRUE,20,2650,4.875,61,304,Intermediate Level,15.5,2015-03-26T22:11:15Z,Web Development,https://www.udemy.com/the-complete-web-developer-course-build-20-websites/
459926,Advanced Tuba Studies - Become a Master of the Tuba!​,TRUE,50,173,4.25,0,63,Intermediate Level,5,2015-04-15T17:47:17Z,Musical Instruments,https://www.udemy.com/advanced-tuba/
459946,Tuba Solos: Learn how to Perform Three Fun and Unique Pieces,TRUE,50,164,4.1875,0,20,Intermediate Level,2,2015-04-15T18:00:06Z,Musical Instruments,https://www.udemy.com/intermediate-tuba-solos/
460056,Learn the Basics of Programming for Marketers,TRUE,55,11339,4.357143,43,26,Beginner Level,3.5,2015-04-21T17:24:26Z,Web Development,https://www.udemy.com/basic-programming-for-marketers/
460652,Financial and Business Simulation with Microsoft Excel,TRUE,20,44,4.15,5,8,Advanced Level,0.5166666666666666,2015-03-29T22:10:23Z,Business Finance,https://www.udemy.com/simulation/
461160,Learn and Understand NodeJS,TRUE,195,58208,4.3,11123,98,Intermediate Level,13,2015-08-31T21:07:48Z,Web Development,https://www.udemy.com/understand-nodejs/
461176,Build an Advanced Single Page with Bootstrap & WordPress,TRUE,95,481,4.35,75,77,Intermediate Level,6,2015-04-08T16:23:36Z,Web Development,https://www.udemy.com/single-page-design-with-bootstrap-css-html5-js-parallax/
462474,Business Banking 101,TRUE,25,132,3.05,3,14,Intermediate Level,1.5,2015-04-06T18:05:26Z,Business Finance,https://www.udemy.com/business-banking-101/
462668,How To Build A Website From Scratch + Blogging Blueprint,TRUE,20,7017,3.9,37,28,Intermediate Level,3.5,2015-04-08T17:39:03Z,Web Development,https://www.udemy.com/how-to-build-a-website-from-scratch-blogging-blueprint/
463354,Editorial Illustration Tutorial: From Drawing to Photoshop,TRUE,45,774,4.3990827,39,35,Intermediate Level,2.5,2015-04-08T16:57:23Z,Graphic Design,https://www.udemy.com/editorial-illustration-illuminating-the-written-word/
463834,Cost Accounting Overheads (Professional Course Level),TRUE,20,2383,4.4,6,19,Intermediate Level,2.5,2015-03-31T21:55:21Z,Business Finance,https://www.udemy.com/overheads-in-cost-accounting/
464002,Optimize! Make Best Decisions with Microsoft Excel,TRUE,20,28,4.9,3,14,Advanced Level,1,2015-04-01T18:09:44Z,Business Finance,https://www.udemy.com/optimize/
464184,Expert Guide : Mastering Photoshop Smart Objects in depth !,TRUE,195,3360,4.55,26,16,Intermediate Level,2,2015-04-07T22:23:50Z,Graphic Design,https://www.udemy.com/a-genius-guide-become-photoshop-smarty-with-smart-objects/
464844,Discover Classical Guitar Level 1,TRUE,25,1513,4.0625,38,19,Beginner Level,1.5,2015-06-21T20:31:22Z,Musical Instruments,https://www.udemy.com/discover-classical-guitar-level-1/
465210,Ruby on Rails Tutorial: Learn 6 Ruby on Rails SEO Techniques,TRUE,200,1266,4.7,16,21,Intermediate Level,2,2015-05-15T22:10:31Z,Web Development,https://www.udemy.com/ruby-on-rails-seo/
465870,Beginning Oracle WebLogic for Administrators,FALSE,0,9786,4.5,989,7,Beginner Level,0.7,2015-04-15T18:28:50Z,Web Development,https://www.udemy.com/learn-oracle-weblogic-12c-essentials/
466558,Bonds For Beginners - A Guide To The Bond Markets,TRUE,20,106,4.7,14,24,Beginner Level,0.5666666666666667,2015-04-20T21:17:15Z,Business Finance,https://www.udemy.com/bonds-for-beginners-a-guide-to-fixed-income-investments/
466632,Stock Markets: How I Became Rich By Changing How I Trade,TRUE,20,646,4.35,6,17,Intermediate Level,1,2015-09-13T18:57:32Z,Business Finance,https://www.udemy.com/become-wealthy-trading-in-the-stock-market/
466774,Learn About Bitcoin and Bitcoin Mining,TRUE,20,520,4.25,10,9,Beginner Level,0.5333333333333333,2015-05-01T23:05:13Z,Business Finance,https://www.udemy.com/learn-about-bitcoin-and-bitcoin-mining/
467186,HTML5 and CSS3 -Start building beautiful websites,TRUE,150,1414,2.85,14,22,Intermediate Level,2.5,2015-05-14T22:21:39Z,Web Development,https://www.udemy.com/html5-and-css3-crash-course/
